,Make,Model,Year,Length,Width,Height,ActiveYN,Vehicle Type
13313,HYUNDAI,Sonata Limited,2018,191.1,73.4,58.1,Y,MD
13314,HYUNDAI,Sonata 2.0 Turbo,2018,191.1,73.4,58.1,Y,MD
13315,HYUNDAI,Sonata ECO,2018,191.1,73.4,58.1,Y,MD
13316,HYUNDAI,Sonata Hybrid,2018,189.8,72.2,57.7,Y,MD
13317,HYUNDAI,Sonata Hybrid Limited,2018,189.8,72.2,57.7,Y,MD
13323,INFINITI,Q50 3.7,2018,188.3,71.8,56.8,Y,MD
13324,INFINITI,Q50 3.7 AWD,2018,188.3,71.8,57.2,Y,MD
13325,INFINITI,Q50 3.7 Premium,2018,188.3,71.8,56.8,Y,MD
13326,INFINITI,Q50 3.7 Premium AWD,2018,188.3,71.8,57.2,Y,MD
13327,INFINITI,Q50S 3.7,2018,189.1,71.8,56.8,Y,MD
13328,INFINITI,Q50S 3.7 AWD,2018,189.1,71.8,57.2,Y,MD
13329,INFINITI,Q50 Hybrid Premium,2018,188.3,71.8,56.8,Y,MD
13330,INFINITI,Q50 Hybrid Premium AWD,2018,188.3,71.8,57.2,Y,MD
13331,INFINITI,Q50S Hybrid,2018,189.1,71.8,56.8,Y,MD
13332,INFINITI,Q50S Hybrid AWD,2018,189.1,71.8,57.2,Y,MD
13333,INFINITI,Q60 Coupe Journey,2018,183.1,71.8,54.8,Y,MD
13334,INFINITI,Q60 Coupe AWD,2018,183.1,71.8,55.4,Y,MD
13335,INFINITI,Q60S Coupe 6MT,2018,183.7,71.8,54.9,Y,MD
13336,INFINITI,Q60 Coupe Limited,2018,183.7,71.8,54.9,Y,MD
13337,INFINITI,Q60S Coupe Limited 6MT,2018,183.7,71.8,54.9,Y,MD
13338,INFINITI,Q60 Convertible,2018,183.3,72.9,55.1,Y,MD
13339,INFINITI,Q60S Convertible 6MT,2018,184,72.9,55.1,Y,MD
13340,INFINITI,Q60 IPL Convertible,2018,185.3,72.9,55.1,Y,MD
13341,INFINITI,Q70 3.7,2018,196.1,72.6,59.1,Y,MD
13342,INFINITI,Q70 3.7X,2018,196.1,72.6,59.6,Y,MD
13343,INFINITI,Q70 5.6,2018,196.1,72.6,59.1,Y,MD
13344,INFINITI,Q70 5.6X,2018,196.1,72.6,59.6,Y,MD
13345,INFINITI,Q70L 3.7,2018,202,72.6,59.1,Y,MD
13346,INFINITI,Q70L 3.7X,2018,202,72.6,59.6,Y,MD
13347,INFINITI,Q70L 5.6,2018,202,72.6,59.1,Y,MD
13348,INFINITI,Q70L 5.6X,2018,202,72.6,59.6,Y,MD
13349,INFINITI,Q70h,2018,196.1,72.6,59.1,Y,MD
13350,JAGUAR,F-Type,2018,176,75.7,51.5,Y,MD
13351,JAGUAR,F-Type S,2018,176,75.7,51.5,Y,MD
13352,JAGUAR,F-Type R,2018,176,75.7,52,Y,MD
13353,JAGUAR,F-Type,2018,176,75.7,51.5,Y,MD
13354,JAGUAR,F-Type S,2018,176,75.7,51.5,Y,MD
13355,JAGUAR,F-Type V8 S,2018,176,75.7,51.9,Y,MD
13356,JAGUAR,XF 2.0T Premiumn,2018,195.3,73.9,57.5,Y,MD
13357,JAGUAR,XF 3.0 Sport,2018,195.3,73.9,57.5,Y,MD
13358,JAGUAR,XF 3.0 Portfolio,2018,195.3,71.6,57.5,Y,MD
13359,JAGUAR,XF 5.0 Supercharged,2018,195.3,71.6,57.5,Y,MD
13360,JAGUAR,XFR,2018,195.3,71.6,57.5,Y,MD
13361,JAGUAR,XFR-S,2018,195.3,71.6,57.5,Y,MD
13362,JAGUAR,XF 3.0 Sport AWD,2018,195.3,71.6,57.5,Y,MD
13363,JAGUAR,XF Portfolio AWD,2018,195.3,71.6,57.5,Y,MD
13364,JAGUAR,XJ,2018,201.9,74.6,57.3,Y,MD
13365,JAGUAR,XJ AWD,2018,201.9,74.6,57.3,Y,MD
13366,JAGUAR,XJ Supercharged,2018,201.9,74.6,57.3,Y,MD
13367,JAGUAR,XJR,2018,201.9,74.6,57.3,Y,MD
13372,JAGUAR,XK,2018,188.7,74.5,52,Y,MD
13373,JAGUAR,XKR,2018,188.7,74.5,52,Y,MD
13374,JAGUAR,XKR-S,2018,188.7,74.5,51.6,Y,MD
13375,JAGUAR,XK,2018,188.7,74.5,52.3,Y,MD
13376,JAGUAR,XKR,2018,188.7,74.5,52.3,Y,MD
13377,JAGUAR,XKR-S,2018,188.7,74.5,51.9,Y,MD
13378,KIA,Cadenza Premium,2018,195.5,72.8,58.1,Y,MD
13379,KIA,Cadenza Limited,2018,195.5,72.8,58.1,Y,MD
13380,KIA,Forte Koup EX,2018,178.3,70.1,55.5,Y,MD
13381,KIA,Forte Koup SX,2018,178.3,70.1,55.5,Y,MD
13382,KIA,Forte LX,2018,179.5,70.1,56.3,Y,MD
13383,KIA,Forte EX,2018,179.5,70.1,56.3,Y,MD
13386,KIA,K900 5.0 Premium,2018,200.6,74.8,58.7,Y,MD
13387,KIA,K900 5.0 Luxury,2018,200.6,74.8,58.7,Y,MD
13388,KIA,Optima LX,2018,190.7,72.1,57.9,Y,MD
13389,KIA,Optima EX,2018,190.7,72.1,57.9,Y,MD
13390,KIA,Optima SX,2018,190.7,72.1,57.9,Y,MD
13391,KIA,Optima SX 2.0T,2018,190.7,72.1,57.1,Y,MD
13392,KIA,Optima SXL 2.0T,2018,190.7,72.1,57.1,Y,MD
13393,KIA,Optima Hybrid LX,2018,190.7,72.1,57,Y,MD
13394,KIA,Optima Hybrid EX,2018,190.7,72.1,57,Y,MD
13405,LEXUS,ES 350,2018,192.7,71.7,57.1,Y,MD
13406,LEXUS,ES 300h,2018,192.7,71.7,57.1,Y,MD
13407,LEXUS,GS 350,2018,190.7,72.4,57.3,Y,MD
13408,LEXUS,GS 350 AWD,2018,190.7,72.4,57.9,Y,MD
13409,LEXUS,GS 450h,2018,190.7,72.4,57.3,Y,MD
13410,LEXUS,GS 450h F-Sport,2018,190.7,72.4,57.3,Y,MD
13411,LEXUS,IS 250,2018,183.7,71.3,56.3,Y,MD
13412,LEXUS,IS 250 AWD,2018,183.7,71.3,56.3,Y,MD
13413,LEXUS,IS 250 C,2018,182.5,70.9,55.7,Y,MD
13414,LEXUS,IS 350,2018,183.7,71.3,56.3,Y,MD
13415,LEXUS,IS 350 AWD,2018,183.7,71.3,56.3,Y,MD
13416,LEXUS,IS 350 C,2018,182.5,70.9,55.7,Y,MD
13417,LEXUS,RC 350,2018,184.8,72.4,54.9,Y,MD
13418,LEXUS,RC 350 AWD,2018,184.8,72.4,55.1,Y,MD
13419,LEXUS,LS 460,2018,200,73.8,58.1,Y,MD
13420,LEXUS,LS 460,2018,200,73.8,58.1,Y,MD
13427,LINCOLN,MKZ 2.0T,2018,194.1,73.4,58.2,Y,MD
13428,LINCOLN,MKZ 3.7,2018,194.1,73.4,58.2,Y,MD
13429,LINCOLN,MKZ 2.0T AWD,2018,194.1,73.4,58.2,Y,MD
13430,LINCOLN,MKZ 3.7 AWD,2018,194.1,73.4,58.2,Y,MD
13431,LINCOLN,MKZ Hybrid,2018,194.1,73.4,58.1,Y,MD
13432,LINCOLN,MKZ Hybrid Black Label,2018,194.1,73.4,58.1,Y,MD
13433,MAZDA,Mazda3 i Special Value,2018,180.3,70.7,57.3,Y,MD
13434,MAZDA,Mazda3 i Sport,2018,180.3,70.7,57.3,Y,MD
13435,MAZDA,Mazda3 i Touring,2018,180.3,70.7,57.3,Y,MD
13436,MAZDA,Mazda3 i Grand Touring,2018,180.3,70.7,57.3,Y,MD
13437,MAZDA,Mazda3 s Touring,2018,180.3,70.7,57.3,Y,MD
13438,MAZDA,Mazda3 s Grand Touring,2018,180.3,70.7,57.3,Y,MD
13439,MAZDA,Mazda3 i Sport,2018,175.6,70.7,57.3,Y,MD
13440,MAZDA,Mazda3 i Touring,2018,175.6,70.7,57.3,Y,MD
13441,MAZDA,Mazda3 i Grand Touring,2018,175.6,70.7,57.3,Y,MD
13442,MAZDA,Mazda3 s Touring,2018,175.6,70.7,57.3,Y,MD
13443,MAZDA,Mazda3 s Grand Touring,2018,175.6,70.7,57.3,Y,MD
13444,MAZDA,Mazda6 i Sport,2018,191.5,72.4,57.1,Y,MD
13445,MAZDA,Mazda6 I Touring,2018,191.5,72.4,57.1,Y,MD
13446,MAZDA,Mazda6 i Grand Touring,2018,191.5,72.4,57.1,Y,MD
13453,MERCEDES-BENZ,C250,2018,180.7,69.7,54.8,Y,MD
13454,MERCEDES-BENZ,C350,2018,180.7,69.7,54.8,Y,MD
13455,MERCEDES-BENZ,C350 4MATIC,2018,180.7,69.7,54.8,Y,MD
13456,MERCEDES-BENZ,C63 AMG,2018,185.3,69.7,54.6,Y,MD
13457,MERCEDES-BENZ,C300,2018,184.5,71.3,56.8,Y,MD
13458,MERCEDES-BENZ,C300 Luxury,2018,184.5,71.3,56.8,Y,MD
13459,MERCEDES-BENZ,C300 Sport,2018,184.5,71.3,56.8,Y,MD
13460,MERCEDES-BENZ,C300 4MATIC,2018,184.5,71.3,56.8,Y,MD
13461,MERCEDES-BENZ,C400 4MATIC,2018,184.5,71.3,56.8,Y,MD
13462,MERCEDES-BENZ,C300  Luxury 4MATIC,2018,184.5,71.3,56.8,Y,MD
13463,MERCEDES-BENZ,C300  Sport 4MATIC,2018,184.5,71.3,56.8,Y,MD
13464,MERCEDES-BENZ,CLS400,2018,194.5,74.1,55.8,Y,MD
13465,MERCEDES-BENZ,CLS400 4MATIC,2018,194.5,74.1,55.8,Y,MD
13466,MERCEDES-BENZ,CLS550,2018,194.5,74.1,55.8,Y,MD
13467,MERCEDES-BENZ,CLS550 4MATIC,2018,194.5,74.1,55.8,Y,MD
13468,MERCEDES-BENZ,E400,2018,185,70.3,54.8,Y,MD
13469,MERCEDES-BENZ,E400 4MATIC,2018,185,70.3,54.8,Y,MD
13470,MERCEDES-BENZ,E400 Cabriolet,2018,185,70.3,55,Y,MD
13471,MERCEDES-BENZ,E550,2018,185,70.3,54.8,Y,MD
13472,MERCEDES-BENZ,E550 Cabriolet,2018,185,70.3,55,Y,MD
13473,MERCEDES-BENZ,E250 BlueTEC,2018,192.1,73,57.1,Y,MD
13474,MERCEDES-BENZ,E250 BlueTEC 4MATIC,2018,192.1,73,57.1,Y,MD
13475,MERCEDES-BENZ,E350,2018,192.1,73,57.1,Y,MD
13476,MERCEDES-BENZ,E350 4MATIC,2018,192.1,73,57.1,Y,MD
13477,MERCEDES-BENZ,E350 4MATIC,2018,192.7,73,58.9,Y,MD
13478,MERCEDES-BENZ,E400,2018,192.1,73,57.1,Y,MD
13479,MERCEDES-BENZ,E400 4MATIC,2018,192.1,73,57.1,Y,MD
13480,MERCEDES-BENZ,E63 AMG 4MATIC,2018,192.9,73.7,56.8,Y,MD
13481,MERCEDES-BENZ,E63 AMG S-Model 4MATIC,2018,192.9,73.7,56.8,Y,MD
13482,MERCEDES-BENZ,E63 AMG,2018,193.4,70.3,57.8,Y,MD
13483,MERCEDES-BENZ,E400 Hybrid,2018,192.1,70.3,57.9,Y,MD
13484,MERCEDES-BENZ,S550 4MATIC,2018,197.9,74.8,55.8,Y,MD
13485,MERCEDES-BENZ,S63 AMG,2018,198.6,75.3,56,Y,MD
13491,MERCEDES-BENZ,SL400,2018,181.6,73.9,51.8,Y,MD
13492,MERCEDES-BENZ,SL550,2018,181.6,73.9,51.8,Y,MD
13493,MERCEDES-BENZ,SL63 AMG,2018,182.4,82.6,51.2,Y,MD
13494,MERCEDES-BENZ,SL65 AMG,2018,182.4,82.6,51.2,Y,MD
13498,MERCEDES-BENZ,SLS AMG GT,2018,182.6,76.3,49.3,Y,MD
13499,MERCEDES-BENZ,SLS AMG GT,2018,182.6,76.3,49.7,Y,MD
13517,MITSUBISHI,Lancer ES,2018,180,69.4,58.3,Y,MD
13518,MITSUBISHI,Lancer GT,2018,180,69.4,58.7,Y,MD
13519,MITSUBISHI,Lancer SE AWC,2018,180,69.4,58.3,Y,MD
13520,MITSUBISHI,Lancer Ralliart AWC,2018,180,69.4,58.7,Y,MD
13521,MITSUBISHI,Lancer Evolution GSR,2018,177,71.3,58.3,Y,MD
13522,MITSUBISHI,Lancer MR,2018,177,71.3,58.3,Y,MD
13534,NISSAN,Altima 2.5,2018,191.5,72,57.9,Y,MD
13535,NISSAN,Altima 2.5 S,2018,191.5,72,57.9,Y,MD
13536,NISSAN,Altima 2.5 SV,2018,191.5,72,57.9,Y,MD
13537,NISSAN,Altima 2.5 SL,2018,191.5,72,57.9,Y,MD
13538,NISSAN,Altima 3.5 S,2018,191.5,72,58.1,Y,MD
13539,NISSAN,Altima 3.5 SV,2018,191.5,72,58.1,Y,MD
13540,NISSAN,Altima 3.5 SL,2018,191.5,72,58.1,Y,MD
13541,NISSAN,GT-R Premium,2018,183.8,74.6,53.9,Y,MD
13542,NISSAN,GT-R Black Edition,2018,183.8,74.6,53.9,Y,MD
13543,NISSAN,GT-R Track Edition,2018,183.8,74.6,53.9,Y,MD
13544,NISSAN,GT-R NISMO,2018,183.8,74.6,53.9,Y,MD
13545,NISSAN,Sentra S,2018,182.1,69.3,58.9,Y,MD
13546,NISSAN,Sentra S FE+,2018,182.1,69.3,58.9,Y,MD
13547,NISSAN,Sentra SV,2018,182.1,69.3,58.9,Y,MD
13548,NISSAN,Sentra SR,2018,182.5,69.3,58.9,Y,MD
13549,NISSAN,Sentra SL,2018,182.1,69.3,58.9,Y,MD
13555,NISSAN,Versa 1.6 S,2018,175.4,66.7,59.6,Y,MD
13556,NISSAN,Versa 1.6 S Plus,2018,175.4,66.7,59.6,Y,MD
13557,NISSAN,Versa 1.6 SV,2018,175.4,66.7,59.6,Y,MD
13558,NISSAN,Versa 1.6 SL,2018,175.4,66.7,59.6,Y,MD
13565,PORSCHE,Panamera,2018,197.4,76,55.8,Y,MD
13566,PORSCHE,Panamera 4,2018,197.4,76,55.8,Y,MD
13567,PORSCHE,Panamera S,2018,197.4,76,55.8,Y,MD
13568,PORSCHE,Panamera 4S,2018,197.4,76,55.8,Y,MD
13569,PORSCHE,Panamera 4S Executive,2018,203.4,76,56.1,Y,MD
13570,PORSCHE,Panamera GTS,2018,197.4,76,55.4,Y,MD
13571,PORSCHE,Panamera Turbo,2018,197.4,76,55.4,Y,MD
13572,PORSCHE,Panamera Turbo Executive,2018,203.3,76,56.1,Y,MD
13573,PORSCHE,Panamera Turbo S,2018,197.4,76,55.4,Y,MD
13574,PORSCHE,Panamera Turbo S Executive,2018,203.3,76,56.1,Y,MD
13575,PORSCHE,Panamera S Hybrid,2018,197.4,76,55.8,Y,MD
13576,PORSCHE,911 Carrera,2018,176.8,71.2,51.3,Y,MD
13577,PORSCHE,911 Carrera S,2018,176.8,71.2,51,Y,MD
13578,PORSCHE,911 Carrera GTS,2018,177.5,72.9,51,Y,MD
13579,PORSCHE,911 Carrera 4,2018,176.8,72.9,51.3,Y,MD
13580,PORSCHE,911 Carrera 4S,2018,176.8,71.2,51,Y,MD
13581,PORSCHE,911 Carrera 4 GTS,2018,177.5,72.9,51,Y,MD
13582,PORSCHE,911 Targa 4,2018,176.8,72.9,51.1,Y,MD
13583,PORSCHE,911 Targa S4,2018,176.8,71.2,50.8,Y,MD
13584,PORSCHE,911 GT3,2018,178.9,72.9,50,Y,MD
13585,PORSCHE,911 Carrera,2018,176.8,71.2,51.1,Y,MD
13586,PORSCHE,911 Carrera S,2018,176.8,71.2,51,Y,MD
13587,PORSCHE,911 Carrera GTS,2018,177.5,72.9,51,Y,MD
13588,PORSCHE,911 Carrera 4,2018,176.8,71.2,51.1,Y,MD
13589,PORSCHE,911 Carrera 4S,2018,176.8,71.2,51,Y,MD
13590,PORSCHE,911 Carrera 4 GTS,2018,177.5,72.9,51,Y,MD
13591,PORSCHE,911 Turbo,2018,177.4,74,51,Y,MD
13592,PORSCHE,911 Turbo Cabriolet,2018,177.4,74,50.9,Y,MD
13593,PORSCHE,911 Turbo S,2018,177.4,74,51,Y,MD
13594,PORSCHE,911 Turbo S Cabriolet,2018,177.4,74,50.9,Y,MD
13595,PORSCHE,918 Targa,2018,182.8,76.4,45.9,Y,MD
13596,PORSCHE,918 Targa Weissach,2018,182.8,76.4,45.9,Y,MD
13607,SCION,tC,2018,176.6,70.7,55.7,Y,MD
13615,SUBARU,Impreza 2.0i,2018,180.5,68.5,57.7,Y,MD
13616,SUBARU,Impreza 2.0i Premium,2018,180.5,68.5,57.7,Y,MD
13617,SUBARU,Impreza 2.0i Limited,2018,180.5,68.5,57.7,Y,MD
13618,SUBARU,Impreza 2.0i,2018,174,68.5,58.1,Y,MD
13619,SUBARU,Impreza 2.0i Premium,2018,174,68.5,58.1,Y,MD
13620,SUBARU,Impreza 2.0i Sport Premium,2018,174,68.5,58.1,Y,MD
13621,SUBARU,Impreza 2.0i Limited,2018,174,68.5,58.1,Y,MD
13622,SUBARU,Impreza 2.0i Sport Limited,2018,174,68.5,58.1,Y,MD
13623,SUBARU,WRX,2018,180.9,70.7,58.1,Y,MD
13624,SUBARU,WRX Premium,2018,180.9,70.7,58.1,Y,MD
13625,SUBARU,WRX Limited,2018,180.9,70.7,58.1,Y,MD
13626,SUBARU,WRX Sti,2018,180.9,70.7,58.1,Y,MD
13627,SUBARU,WRX STi Launch,2018,180.3,68.5,58.1,Y,MD
13628,SUBARU,WRX STi Premium,2018,180.3,68.5,58.1,Y,MD
13630,SUBARU,Legacy 2.5i,2018,188.8,72.4,59,Y,MD
13631,SUBARU,Legacy 2.5i Premium,2018,188.8,72.4,59,Y,MD
13632,SUBARU,Legacy 2.5i Limited,2018,188.8,72.4,59,Y,MD
13633,SUBARU,Legacy 3.6R Limited,2018,188.8,72.4,59,Y,MD
13634,TOYOTA,Avalon XLE,2018,195.2,72.2,57.5,Y,MD
13635,TOYOTA,Avalon XLE Premium,2018,195.2,72.2,57.5,Y,MD
13636,TOYOTA,Avalon XLE Touring,2018,195.2,72.2,57.5,Y,MD
13637,TOYOTA,Avalon XLE Touring Sport,2018,195.2,72.2,57.5,Y,MD
13638,TOYOTA,Avalon Limited,2018,195.2,72.2,57.5,Y,MD
13639,TOYOTA,Avalon Hybrid XLE Premium,2018,195.2,72.2,57.5,Y,MD
13640,TOYOTA,Avalon Hybrid XLE Touring,2018,195.2,72.2,57.5,Y,MD
13641,TOYOTA,Avalon Hybrid XLE Limited,2018,195.2,72.2,57.5,Y,MD
13642,TOYOTA,Camry LE,2018,190.9,71.7,57.9,Y,MD
13643,TOYOTA,Camry SE,2018,190.9,71.7,57.9,Y,MD
13644,TOYOTA,Camry XSE,2018,190.9,71.7,57.9,Y,MD
13645,TOYOTA,Camry XSE V6,2018,190.9,71.7,57.9,Y,MD
13646,TOYOTA,Camry XLE,2018,190.9,71.7,57.9,Y,MD
13647,TOYOTA,Camry XLE V6,2018,190.9,71.7,57.9,Y,MD
13648,TOYOTA,Camry Hybrid LE,2018,190.9,71.7,57.9,Y,MD
13649,TOYOTA,Camry Hybrid SE,2018,190.9,71.7,57.9,Y,MD
13650,TOYOTA,Camry Hybrid XLE,2018,190.9,71.7,57.9,Y,MD
13651,TOYOTA,Corolla L,2018,182.6,69.9,57.3,Y,MD
13652,TOYOTA,Corolla LE,2018,182.6,69.9,57.3,Y,MD
13653,TOYOTA,Corolla LE Plus,2018,182.6,69.9,57.3,Y,MD
13654,TOYOTA,Corolla LE Premium,2018,182.6,69.9,57.3,Y,MD
13655,TOYOTA,Corolla LE Eco,2018,183.1,69.9,57.3,Y,MD
13656,TOYOTA,Corolla LE Eco Plus,2018,183.1,69.9,57.3,Y,MD
13657,TOYOTA,Corolla LE Eco Premium,2018,183.1,69.9,57.3,Y,MD
13658,TOYOTA,Corolla S,2018,182.6,69.9,57.3,Y,MD
13659,TOYOTA,Corolla S Plus,2018,182.6,69.9,57.3,Y,MD
13660,TOYOTA,Corolla S Premium,2018,182.6,69.9,57.3,Y,MD
13665,TOYOTA,Prius I,2018,176.4,68.7,58.7,Y,MD
13666,TOYOTA,Prius II,2018,176.4,68.7,58.7,Y,MD
13667,TOYOTA,Prius III,2018,176.4,68.7,58.7,Y,MD
13668,TOYOTA,Prius SE Persona,2018,176.4,68.7,58.7,Y,MD
13669,TOYOTA,Prius IV,2018,176.4,68.7,58.7,Y,MD
13670,TOYOTA,Prius V,2018,176.4,68.7,58.7,Y,MD
13671,TOYOTA,Prius v II,2018,182.3,69.9,62,Y,MD
13672,TOYOTA,Prius v III,2018,182.3,69.9,62,Y,MD
13673,TOYOTA,Prius v IV,2018,182.3,69.9,62,Y,MD
13674,TOYOTA,Prius v  V,2018,182.3,69.9,62,Y,MD
13675,TOYOTA,Prius Plug-in,2018,176.4,68.7,58.7,Y,MD
13676,TOYOTA,Prius Plug-in Advanced,2018,176.4,68.7,58.7,Y,MD
13689,VOLKSWAGEN,CC 2.0T Sport,2018,189.1,73,55.8,Y,MD
